,lon,lat,CP_Site,SiteType,BroadSiteType,dtime,doy,jday,year,type,tFirst,tSecond,tFirst.err,tSecond.err,sun.elev,step,iteration,bearing,distance,frac.timedry,speed,timediff,sat.ice,sat.sst,sat.sst.err,tag.sst,sst.diff,wsst,wspeed,wrel,jday2,month,median.sat.sst,median.sun.elev,median.wrel,optional
339,-146.5119127,58.55434845,1,MDO1,MDO1,8/1/2018 9:52,213,17744.41104,2018,2,8/1/2018 6:58,8/1/2018 12:46,-467.4143044,527.3896431,-5.54,1,339,-174.020267,95369.75689,0.383010688,0.323568116,4912.399794,0,10.98999977,0.219999999,13.225,-2.235000229,0.770475612,1,0.770475612,17744.41139,8,12.25,-5.285,0.903877715,TRUE
531,-144.7857316,58.27362222,1,MDO1,MDO1,8/1/2018 21:45,213,17744.90208,2018,1,8/1/2018 12:49,8/2/2018 6:41,715.2930902,60.3264224,-4.98,2,31,141.9885237,216896.8939,0.191100973,5.08530202,710.8620524,0,10.53999996,0.129999995,13.225,-2.685000038,0.69871858,0.442358296,0.30908396,17744.90657,8,11.92499971,-4.38,0.843180636,TRUE
1170,-144.08258,57.84086828,1,MDO1,MDO1,8/2/2018 9:42,214,17745.40237,2018,2,8/2/2018 6:43,8/2/2018 12:41,215.0007061,169.8878101,-5.9,3,170,-2.739336441,66221.76047,0.279227708,1.53253038,720.178877,0,11.03999996,0.209999993,13.558,-2.518000038,0.722269688,1,0.722269688,17745.40459,8,11.94999981,-4.66,0.823912742,TRUE
1579,-145.2434049,58.23570231,1,MDO1,MDO1,8/2/2018 21:47,214,17745.90786,2018,1,8/2/2018 12:42,8/3/2018 6:52,208.9378914,-220.5714325,-6.08,4,79,-179.1072047,158306.5891,0.43824128,3.663843249,720.1299218,0,10.81999969,0.199999988,13.558,-2.738000305,0.686913065,1,0.686913065,17745.90779,8,12.25999975,-5.505,0.848415624,TRUE
2408,-147.3704463,57.632465,1,MDO1,MDO1,8/3/2018 9:55,215,17746.41612,2018,2,8/3/2018 6:43,8/3/2018 13:08,-773.9844368,350.728704,-5.02,5,408,-135.9761469,243442.8161,0.382709373,5.548247994,731.2903592,0,13.10999966,0.280000001,13.192,-0.082000343,0.948736856,1,0.948736856,17746.41367,8,12.65999985,-4.85,0.911215301,TRUE
2533,-147.7984362,57.61584118,1,MDO1,MDO1,8/3/2018 21:57,215,17746.91786,2018,1,8/3/2018 12:58,8/4/2018 6:56,-231.5876326,-291.4131577,-6.22,6,33,43.87998921,16234.59938,0.080574257,0.376216992,719.2037101,0,12.7699995,0.289999992,13.192,-0.422000496,0.938686079,1,0.938686079,17746.91483,8,12.59000015,-5.09,0.87082801,TRUE
3163,-147.6596874,57.79156014,1,MDO1,MDO1,8/4/2018 9:56,216,17747.41481,2018,2,8/4/2018 6:37,8/4/2018 13:15,-1415.096549,1347.008929,-4.5,7,163,35.75272276,148054.5719,0.100596272,3.455321385,714.1379694,0,12,0.189999998,12.925,-0.925,0.936511015,0.437882426,0.410081716,17747.41442,8,12.38000011,-5.72,0.912174566,TRUE
3625,-147.6219964,58.08436704,1,MDO1,MDO1,8/4/2018 21:56,216,17747.91491,2018,1,8/4/2018 12:57,8/5/2018 6:55,236.9964912,-345.9691417,-6.14,8,125,3.084754067,213160.5504,0.162349282,4.939936988,719.1743233,0,12.25,0.189999998,12.925,-0.675,0.954469756,0.191383688,0.182669942,17747.91428,8,12.43999958,-5.765,0.903462507,TRUE
4150,-146.5656546,58.54772875,1,MDO1,MDO1,8/5/2018 9:52,217,17748.41116,2018,2,8/5/2018 6:48,8/5/2018 12:56,-790.5548907,816.7767161,-5.64,9,150,132.7222559,140784.1023,0.22834179,3.291599355,712.845475,0,12.52999973,0.170000002,13.969,-1.439000267,0.88839774,1,0.88839774,17748.41131,8,12.75999975,-6.04,0.879846491,TRUE
4535,-145.7642781,58.69650835,1,MDO1,MDO1,8/5/2018 21:49,217,17748.90933,2018,1,8/5/2018 12:40,8/6/2018 6:57,-151.2271613,101.4660722,-6.79,10,35,125.4051228,228240.6768,0.553116164,5.379663276,707.1095505,0,12.77999973,0.199999988,13.969,-1.189000267,0.909590015,1,0.909590015,17748.90905,8,12.94499969,-5.745,0.907935647,TRUE
