,lon,lat,CP_Site,SiteType,BroadSiteType,dtime,doy,jday,year,type,tFirst,tSecond,tFirst.err,tSecond.err,sun.elev,step,iteration,bearing,distance,frac.timedry,speed,timediff,sat.ice,sat.sst,sat.sst.err,tag.sst,sst.diff,wsst,wspeed,wrel,jday2,month,median.sat.sst,median.sun.elev,median.wrel,optional
348,-147.7045257,57.91703046,1,MDO1,MDO1,7/29/2019 9:57,210,18106.41534,2019,2,7/29/2019 7:16,7/29/2019 12:37,13.78915725,-105.2547315,-6.42,1,348,-153.9326143,183847.2316,0.39135609,0.226012241,13557.32112,0,14.8399992,0.119999997,13.425,1.414999199,0.91544214,1,0.91544214,18106.41481,7,14.35999966,-5.195,0.946467066,TRUE
600,-147.978469,57.96041838,1,MDO1,MDO1,7/29/2019 21:58,210,18106.91749,2019,1,7/29/2019 12:45,7/30/2019 7:11,335.5431405,-669.6843791,-5.98,2,100,112.4878125,138385.8831,0.160704688,3.242364427,711.3424282,0,14.94999981,0.119999997,13.425,1.524999809,0.902897977,1,0.902897977,18106.91556,7,14.42499971,-5.62,0.914913414,TRUE
1325,-147.3023915,58.2601253,1,MDO1,MDO1,7/30/2019 9:55,211,18107.41355,2019,2,7/30/2019 7:10,7/30/2019 12:40,-737.8704689,757.2723972,-5.99,3,325,-135.6504606,114711.579,0.230951217,2.63542606,725.4461353,0,15.17999935,0.119999997,13.602,1.577999352,0.896585048,1,0.896585048,18107.41367,7,15.04999924,-5.96,0.868620005,TRUE
1696,-144.6878197,57.97025465,1,MDO1,MDO1,7/30/2019 21:45,211,18107.90147,2019,1,7/30/2019 12:49,7/31/2019 6:40,1275.501042,-426.487023,-4.66,4,196,142.416866,251419.358,0.311207144,5.905076569,709.6135983,0,15.36999989,0.119999997,13.602,1.767999886,0.872593577,1,0.872593577,18107.90639,7,14.94999981,-4.66,0.881672898,TRUE
2427,-142.8257689,57.04901675,1,MDO1,MDO1,7/31/2019 9:37,212,18108.39805,2019,2,7/31/2019 6:49,7/31/2019 12:26,75.02312213,469.4690474,-6.87,5,427,109.0560679,374638.6841,0.525534011,8.963341973,696.612724,0,15.14999962,0.109999999,12.271,2.878999619,0.700681963,1,0.700681963,18108.4012,7,14.56999969,-5.355,0.77170898,TRUE
2890,-142.9723666,57.09635483,1,MDO1,MDO1,7/31/2019 21:38,212,18108.90479,2019,1,7/31/2019 12:31,8/1/2019 6:45,776.3831692,-1328.841832,-6.55,6,390,-26.97718272,309694.3376,0.454453081,7.077988771,729.2427921,0,15.09999943,0.109999999,12.271,2.828999428,0.709316536,1,0.709316536,18108.90159,7,14.46000004,-5.69,0.774619699,TRUE
3088,-145.8099734,57.9200306,1,MDO1,MDO1,8/1/2019 9:49,213,18109.41525,2019,2,8/1/2019 6:52,8/1/2019 12:46,-890.7603366,-112.065669,-5.69,7,88,-164.9698455,242416.1142,0.287257595,5.578831167,724.2141677,0,16.19999886,0.140000001,13.221,2.978998856,0.681824079,1,0.681824079,18109.40945,8,15.13999939,-4.785,0.774301967,TRUE
3820,-146.7579393,57.6524495,1,MDO1,MDO1,8/1/2019 21:53,213,18109.91671,2019,1,8/1/2019 12:54,8/2/2019 6:52,353.1856098,-1156.688061,-5.65,8,320,-130.5954378,211025.2603,0.187722354,4.813280092,730.7049672,0,15.47999954,0.149999991,13.221,2.258999542,0.798035844,0.610071622,0.486859022,18109.91206,8,15.21000004,-5.33,0.790111095,TRUE
4463,-147.4916181,57.83831464,1,MDO1,MDO1,8/2/2019 9:56,214,18110.41671,2019,2,8/2/2019 6:58,8/2/2019 12:53,-761.1833972,305.8658406,-5.96,9,463,-179.3736054,103446.0724,0.174458029,2.394441628,720.0431143,0,14.28999996,0.189999998,13.536,0.753999962,0.95460311,1,0.95460311,18110.41408,8,14.63499975,-5.505,0.910013837,TRUE
4899,-146.8753409,57.94590782,1,MDO1,MDO1,8/2/2019 21:53,214,18110.91202,2019,1,8/2/2019 12:47,8/3/2019 6:59,-60.18424013,114.8466782,-6.32,10,399,49.06653165,76089.55562,0.186462868,1.770972648,716.0806588,0,14.73999977,0.179999992,13.536,1.203999771,0.923084747,1,0.923084747,18110.91234,8,14.67000008,-5.385,0.899999434,TRUE
