,lon,lat,CP_Site,SiteType,BroadSiteType,dtime,doy,jday,year,type,tFirst,tSecond,tFirst.err,tSecond.err,sun.elev,step,iteration,bearing,distance,frac.timedry,speed,timediff,sat.ice,sat.sst,sat.sst.err,tag.sst,sst.diff,wsst,wspeed,wrel,jday2,month,median.sat.sst,median.sun.elev,median.wrel,optional
398,-149.7534283,58.90665687,1,MDO1,MDO1,7/26/2019 10:05,207,18103.42186,2019,2,7/26/2019 7:45,7/26/2019 12:25,-454.1699318,223.3169922,-6.55,1,398,-104.4205327,202929.5651,0.534141655,0.43330134,7805.559559,0,14.88000011,0.119999997,15.042,-0.161999886,0.999097168,1,0.999097168,18103.42053,7,14.85999966,-6.08,0.969381799,TRUE
694,-143.4173777,57.84979769,1,MDO1,MDO1,7/26/2019 21:40,207,18103.89756,2019,1,7/26/2019 12:38,7/27/2019 6:41,1029.597224,-101.9513714,-4.41,2,194,104.4870161,458267.5924,0.632666558,11.06845921,690.0502646,0,15.75999928,0.140000001,15.042,0.717999275,0.974901699,0.993907937,0.968962537,18103.90293,7,15.67999935,-4.075,0.94082699,TRUE
1252,-145.1979541,56.58594675,1,MDO1,MDO1,7/27/2019 9:47,208,18104.4077,2019,2,7/27/2019 6:43,7/27/2019 12:51,3.650300524,26.48549298,-4.96,3,252,-148.2336235,168391.2203,0.66025726,3.866964327,725.7683548,0,15.2699995,0.140000001,14.774,0.495999504,0.983891584,1,0.983891584,18104.40787,7,14.90999985,-3.84,0.96385854,TRUE
1716,-146.2988026,56.74210049,1,MDO1,MDO1,7/27/2019 21:51,208,18104.91161,2019,1,7/27/2019 12:57,7/28/2019 6:46,387.2096505,-506.4173499,-4.8,4,216,-53.80085193,57037.04994,0.573523494,1.314819494,723.0022854,0,15.28999996,0.129999995,14.774,0.515999962,0.988332563,1,0.988332563,18104.91092,7,14.86999989,-4.72,0.972147625,TRUE
2114,-150.1987857,56.84379724,1,MDO1,MDO1,7/28/2019 10:07,209,18105.42528,2019,2,7/28/2019 6:44,7/28/2019 13:30,-604.5463762,-5.16177377,-3.16,5,114,-37.42284487,323074.2037,0.427885883,7.347320495,732.8617372,0,13.52999973,0.129999995,14.05,-0.520000267,0.985599693,1,0.985599693,18105.42175,7,13.40999985,-2.76,0.954817174,TRUE
2503,-150.2901286,56.40378841,1,MDO1,MDO1,7/28/2019 22:07,209,18105.92347,2019,1,7/28/2019 13:35,7/29/2019 6:39,335.9328571,-590.3447598,-3.02,6,3,-170.4464513,186891.2356,0.19237891,4.314215189,721.9978121,0,13.2699995,0.119999997,14.05,-0.780000496,0.976709092,0.974766036,0.95206285,18105.922,7,13.39999962,-3,0.960590691,TRUE
3225,-150.3011553,55.71666481,1,MDO1,MDO1,7/29/2019 10:07,210,18106.42171,2019,2,7/29/2019 6:40,7/29/2019 13:35,-565.8790156,619.4869108,-3.62,7,225,175.9793828,395340.8327,0.443144932,9.174036915,718.2240424,0,13.78999996,0.119999997,12.681,1.108999962,0.956039607,0.65471451,0.625933003,18106.42202,7,13.44499969,-3.72,0.956475722,TRUE
3881,-151.9569731,55.59429028,1,MDO1,MDO1,7/29/2019 22:14,210,18106.92682,2019,1,7/29/2019 13:22,7/30/2019 7:06,-183.7653263,146.1776053,-5.85,8,381,82.2486617,139300.3679,0.584564282,3.264330981,711.2246926,0,13.36999989,0.179999992,12.681,0.688999886,0.966492059,1,0.966492059,18106.92661,7,13.39999962,-4.475,0.959317176,TRUE
4287,-149.4087819,56.47750901,1,MDO1,MDO1,7/30/2019 10:04,211,18107.41867,2019,2,7/30/2019 7:02,7/30/2019 13:05,-81.30720475,227.6018227,-5.93,9,287,93.31340245,135362.977,0.594459856,3.172134818,711.2086171,0,14.5899992,0.119999997,15.054,-0.464000801,0.990013252,1,0.990013252,18107.41952,7,14.02999973,-5.08,0.937905162,TRUE
4525,-148.0772199,56.77899659,1,MDO1,MDO1,7/30/2019 21:58,211,18107.91529,2019,1,7/30/2019 13:05,7/31/2019 6:51,239.7310804,-151.1802185,-5.3,10,25,-77.27381021,71491.07127,0.609946116,1.644513064,724.5414346,0,14.17000008,0.119999997,15.054,-0.883999924,0.970909059,1,0.970909059,18107.9158,7,14.22499943,-4.62,0.956038829,TRUE
5429,-145.7705999,57.30035044,1,MDO1,MDO1,7/31/2019 9:49,212,18108.40835,2019,2,7/31/2019 6:57,7/31/2019 12:41,189.9389123,-11.27882116,-6.39,11,429,4.828997564,226832.0437,0.541857254,5.260163903,718.7103163,0,15.46000004,0.119999997,14.937,0.523000038,0.988031071,1,0.988031071,18108.40938,7,15.23999977,-5.06,0.970374786,TRUE
5611,-144.4051861,57.21984311,1,MDO1,MDO1,7/31/2019 21:44,212,18108.90478,2019,1,7/31/2019 12:45,8/1/2019 6:42,243.6159706,-107.5090275,-5.69,12,111,47.87019299,249818.7291,0.662070922,5.883314655,707.7040289,0,15.71999931,0.119999997,14.937,0.782999313,0.976551544,1,0.976551544,18108.90557,7,14.99499989,-5,0.975808304,TRUE
6328,-148.8140013,56.41911342,1,MDO1,MDO1,8/1/2019 10:01,213,18109.41839,2019,2,8/1/2019 6:38,8/1/2019 13:24,-334.5911297,231.6165232,-4.29,13,328,-124.8355325,306922.2119,0.726422595,6.947336094,736.3067122,0,14.63999939,0.149999991,14.3,0.33999939,0.985719123,1,0.985719123,18109.4178,8,14.36499977,-3.885,0.961393756,TRUE
6714,-148.3699069,56.02369248,1,MDO1,MDO1,8/1/2019 21:59,213,18109.91638,2019,1,8/1/2019 13:24,8/2/2019 6:35,200.5174849,-172.3298257,-4.54,14,214,56.14565232,305747.6178,0.497932567,7.241704938,703.6731921,0,14.11999989,0.149999991,14.3,-0.180000114,0.988501719,1,0.988501719,18109.91654,8,14.21999931,-4.08,0.963466904,TRUE
7258,-147.2568483,56.0536916,1,MDO1,MDO1,8/2/2019 9:55,214,18110.4129,2019,2,8/2/2019 6:38,8/2/2019 13:11,33.24500434,56.72623563,-5.44,15,258,-30.30559624,109376.5984,0.41692248,2.519582845,723.5099695,0,14.29999924,0.140000001,13.117,1.182999237,0.945988103,1,0.945988103,18110.41343,8,14.21999979,-4.48,0.934099272,TRUE
7755,-149.5237142,56.51717787,1,MDO1,MDO1,8/2/2019 22:04,214,18110.92332,2019,1,8/2/2019 13:09,8/3/2019 6:59,-88.45900801,-537.9456251,-6.36,16,255,-45.20501524,211178.5551,0.290702787,4.823398677,729.7017769,0,14.56999969,0.209999993,13.117,1.452999695,0.909088223,1,0.909088223,18110.9197,8,13.95499992,-5.525,0.93483041,TRUE
8036,-149.0988005,57.38678382,1,MDO1,MDO1,8/3/2019 10:02,215,18111.41839,2019,2,8/3/2019 7:07,8/3/2019 12:57,-43.18214671,60.12547811,-6.76,17,36,-17.66896719,227507.1991,0.373772297,5.233272321,724.5536671,0,14.36999989,0.119999997,12.591,1.778999886,0.896798163,1,0.896798163,18111.41849,8,14.21999931,-5.77,0.896798163,TRUE
8691,-147.0823218,57.17055273,1,MDO1,MDO1,8/3/2019 21:54,215,18111.90797,2019,1,8/3/2019 13:13,8/4/2019 6:35,1040.339051,-196.2645186,-4.73,18,191,20.91070207,199973.8025,0.281955209,4.659832794,715.2395496,0,14.15999985,0.189999998,12.591,1.568999847,0.902556515,1,0.902556515,18111.91286,8,14.42999935,-4.345,0.84685153,TRUE
9265,-149.373783,57.10934571,1,MDO1,MDO1,8/4/2019 10:03,216,18112.42496,2019,2,8/4/2019 6:15,8/4/2019 13:51,-1385.362586,388.230447,-1.87,19,265,-48.92634765,256653.3716,0.225106144,5.837821799,732.7315462,0,14.25999928,0.149999991,12.522,1.737999275,0.893319245,0.352164591,0.314595406,18112.41919,8,13.97999954,-2.35,0.872880134,TRUE
