,lon,lat,CP_Site,SiteType,BroadSiteType,dtime,doy,jday,year,type,tFirst,tSecond,tFirst.err,tSecond.err,sun.elev,step,iteration,bearing,distance,frac.timedry,speed,timediff,sat.ice,sat.sst,sat.sst.err,tag.sst,sst.diff,wsst,wspeed,wrel,jday2,month,median.sat.sst,median.sun.elev,median.wrel,optional
125,-148.7232245,57.59308373,1,MDO1,MDO1,8/2/2020 10:01,215,18476.41643,2020,2,8/2/2020 6:49,8/2/2020 13:13,-724.1533106,902.4473661,-4.99,1,125,-144.4603494,244992.4474,0.476153737,0.248352999,16441.14412,0,14.88000011,0.149999991,12.366,2.514000114,0.743773806,1,0.743773806,18476.41746,8,13.94499969,-5.275,0.860926315,TRUE
849,-146.6326371,57.41271564,1,MDO1,MDO1,8/2/2020 21:52,215,18476.91095,2020,1,8/2/2020 13:05,8/3/2020 6:39,466.4843381,-349.3600568,-5.13,2,349,167.9918473,298947.7347,0.483302299,6.960483897,715.8212444,0,14.5,0.159999996,12.366,2.134,0.802001581,1,0.802001581,18476.91163,8,14.05999947,-4.845,0.840081503,TRUE
1122,-145.4283589,58.50000707,1,MDO1,MDO1,8/3/2020 9:47,216,18477.40391,2020,2,8/3/2020 6:46,8/3/2020 12:49,39.34192884,710.7519709,-5.52,3,122,140.0661165,120490.6228,0.487872733,2.81000596,714.6522377,0,13.82999992,0.229999989,11.071,2.758999924,0.69387901,1,0.69387901,18477.40825,8,13.78999996,-4.89,0.692136764,TRUE
1827,-145.3357943,58.47726093,1,MDO1,MDO1,8/3/2020 21:47,216,18477.90428,2020,1,8/3/2020 12:53,8/4/2020 6:41,921.6041782,-285.5681419,-5.31,4,327,-140.3281938,167222.1403,0.657415282,3.832171689,727.2731751,0,13.85999966,0.170000002,11.071,2.788999657,0.692766813,1,0.692766813,18477.90796,8,13.74499989,-5.155,0.704109849,TRUE
2246,-145.4045109,59.04695308,1,MDO1,MDO1,8/4/2020 9:47,217,18478.40624,2020,2,8/4/2020 6:48,8/4/2020 12:46,122.8720094,201.8596807,-5.6,5,246,140.9511948,38595.07828,0.834258407,0.895570485,718.2587135,0,13.79999924,0.170000002,10.906,2.893999237,0.676526555,1,0.676526555,18478.40812,8,13.60999966,-4.83,0.705368235,TRUE
2656,-147.091104,58.99884847,1,MDO1,MDO1,8/4/2020 21:54,217,18478.91145,2020,1,8/4/2020 12:59,8/5/2020 6:49,961.9097534,-733.750994,-5.24,6,156,-40.93792029,113881.4917,0.770919045,2.617452185,725.1421334,0,13.59999943,0.159999996,10.906,2.693999428,0.709882816,1,0.709882816,18478.91277,8,13.59000015,-5.65,0.705736338,TRUE
3098,-146.6153739,58.72457277,1,MDO1,MDO1,8/5/2020 9:52,218,18479.41123,2020,2,8/5/2020 6:55,8/5/2020 12:49,-383.4815312,415.7273715,-6.25,7,98,-177.1747072,75642.29743,0.497704018,1.750479961,720.2053066,0,13.73999977,0.140000001,12.909,0.830999771,0.960165234,1,0.960165234,18479.41141,8,13.78999949,-5.865,0.951568268,TRUE
3915,-147.1933337,59.05522797,1,MDO1,MDO1,8/5/2020 21:54,218,18479.91306,2020,1,8/5/2020 12:41,8/6/2020 7:07,-52.52179072,38.44943278,-6.99,8,415,-2.249656468,81277.66292,0.316256547,1.880991979,720.1666625,0,13.54999924,0.140000001,12.909,0.640999237,0.972509432,1,0.972509432,18479.91298,8,13.65999985,-6.05,0.959086932,TRUE
4152,-148.8642457,58.59349816,1,MDO1,MDO1,8/6/2020 10:01,219,18480.41865,2020,2,8/6/2020 6:46,8/6/2020 13:16,-1244.227304,1060.158314,-4.97,9,152,-85.50771689,211322.4152,0.391088535,4.795543351,734.4402908,0,13.32999992,0.149999991,12.327,1.002999924,0.943839348,1,0.943839348,18480.41758,8,13.55999947,-5.82,0.916242725,TRUE
4517,-145.1809809,57.79734865,1,MDO1,MDO1,8/6/2020 21:46,219,18480.90649,2020,1,8/6/2020 12:59,8/7/2020 6:33,54.30493874,86.52181832,-5.84,10,17,68.48930967,310936.7533,0.593681203,7.398321046,700.4669289,0,13.7699995,0.119999997,12.327,1.442999504,0.905459973,1,0.905459973,18480.90731,8,13.78999996,-4.835,0.89643015,TRUE
5280,-146.2287747,57.59386916,1,MDO1,MDO1,8/7/2020 9:50,220,18481.40969,2020,2,8/7/2020 6:32,8/7/2020 13:08,54.37105253,30.06760695,-5.65,11,280,-60.76529467,212564.6532,0.44326496,4.837514701,732.3480007,0,13.82999992,0.119999997,12.194,1.635999924,0.880922542,1,0.880922542,18481.41018,8,13.80999947,-4.755,0.879586867,TRUE
5635,-147.2834118,57.90399321,1,MDO1,MDO1,8/7/2020 21:54,220,18481.91832,2020,1,8/7/2020 13:04,8/8/2020 6:44,-198.0169647,-711.2044318,-6.34,12,135,-70.54428081,169349.2573,0.170375777,3.862670209,730.7089318,0,13.75,0.140000001,12.194,1.556,0.889898084,0.996885709,0.887126683,18481.91306,8,13.78999996,-5.595,0.864184986,TRUE
6223,-147.7679445,58.37818161,1,MDO1,MDO1,8/8/2020 9:56,221,18482.4164,2020,2,8/8/2020 6:50,8/8/2020 13:03,-400.1858912,47.5572933,-6.44,13,223,-160.3217276,127445.8042,0.299849112,2.938434363,722.8668315,0,13.38999939,0.129999995,12.95,0.43999939,0.985133672,1,0.985133672,18482.41436,8,13.64999962,-5.905,0.95615458,TRUE
6721,-142.7738114,56.95476881,1,MDO1,MDO1,8/8/2020 21:36,221,18482.89917,2020,1,8/8/2020 13:05,8/9/2020 6:07,194.6754533,25.39491241,-5.33,14,221,93.62143356,441790.1565,0.734538945,10.65747355,690.8925687,0,14.5899992,0.209999993,12.95,1.639999199,0.862556862,1,0.862556862,18482.90044,8,13.90999985,-4.55,0.903626105,TRUE
7377,-145.7732897,55.71239926,1,MDO1,MDO1,8/9/2020 9:48,222,18483.40839,2020,2,8/9/2020 6:07,8/9/2020 13:29,34.11078823,22.53257457,-4.96,15,377,-43.78697359,356687.4615,0.924693496,8.081135464,735.6380859,0,14.10999966,0.329999983,13.875,0.234999657,0.935006343,1,0.935006343,18483.40872,8,13.46999931,-3.745,0.957639609,TRUE
