,lon,lat,CP_Site,SiteType,BroadSiteType,dtime,doy,jday,year,type,tFirst,tSecond,tFirst.err,tSecond.err,sun.elev,step,iteration,bearing,distance,frac.timedry,speed,timediff,sat.ice,sat.sst,sat.sst.err,tag.sst,sst.diff,wsst,wspeed,wrel,jday2,month,median.sat.sst,median.sun.elev,median.wrel,optional
145,-149.0986854,59.0055305,1,MDO1,MDO1,7/26/2019 10:02,207,18103.42023,2019,2,7/26/2019 7:42,7/26/2019 12:23,-546.2102722,283.2484513,-6.42,1,145,-104.6091096,163685.4768,0.508309842,0.349623485,7802.940575,0,15.36999989,0.149999991,14.423,0.946999886,0.967132602,1,0.967132602,18103.41871,7,15.04999924,-6.065,0.965500995,TRUE
819,-142.599517,58.0355334,1,MDO1,MDO1,7/26/2019 21:36,207,18103.89647,2019,1,7/26/2019 12:34,7/27/2019 6:39,935.7926486,-212.4730983,-4.38,2,319,80.67652689,411901.8788,0.596900797,9.914418467,692.4290452,0,16.25,0.170000002,14.423,1.827,0.902282938,1,0.902282938,18103.90065,7,15.69999981,-4.29,0.913207748,TRUE
1303,-143.8066229,56.79661,1,MDO1,MDO1,7/27/2019 9:41,208,18104.40383,2019,2,7/27/2019 6:29,7/27/2019 12:53,-803.42626,833.6875036,-4.04,3,303,-108.162994,315571.4438,0.617796688,7.110901153,739.6424097,0,14.86999989,0.149999991,13.98,0.889999886,0.97212771,1,0.97212771,18104.40401,7,15.0199995,-4.37,0.948428392,TRUE
1841,-147.7954479,57.60361358,1,MDO1,MDO1,7/27/2019 21:57,208,18104.91581,2019,1,7/27/2019 12:41,7/28/2019 7:14,77.68189965,-203.8142228,-6.11,4,341,170.0110243,215516.2684,0.550959465,5.006235743,717.4927414,0,15.21000004,0.149999991,13.98,1.230000038,0.953476685,1,0.953476685,18104.91508,7,15.0199995,-5.33,0.95164483,TRUE
2170,-147.8879572,57.81393165,1,MDO1,MDO1,7/28/2019 9:58,209,18105.41581,2019,2,7/28/2019 7:06,7/28/2019 12:49,-680.4646177,597.8122478,-5.35,5,170,166.3914457,65283.87345,0.409917884,1.513389522,718.958696,0,14.40999985,0.129999995,13.634,0.775999847,0.98150599,1,0.98150599,18105.41533,7,14.30999947,-5.27,0.972496321,TRUE
2658,-146.9556502,57.8626221,1,MDO1,MDO1,7/28/2019 21:54,209,18105.90209,2019,1,7/28/2019 13:08,7/29/2019 6:40,1690.820845,148.2849027,-3.44,6,158,135.5657526,105512.7386,0.136278695,2.459467469,715.0107351,0,14.0199995,0.170000002,13.634,0.385999504,0.984547296,1,0.984547296,18105.91274,7,14.36999989,-2.83,0.95353658,TRUE
3115,-144.7354339,57.60140462,1,MDO1,MDO1,7/29/2019 9:45,210,18106.4021,2019,2,7/29/2019 6:39,7/29/2019 12:51,57.04988746,713.830028,-4.42,7,115,70.04671005,221897.2679,0.268693044,5.238165837,706.0272456,0,14.78999996,0.140000001,13.586,1.203999962,0.957145723,1,0.957145723,18106.40656,7,14.5,-3.795,0.945338316,TRUE
3939,-144.4488247,57.30026732,1,MDO1,MDO1,7/29/2019 21:44,210,18106.90556,2019,1,7/29/2019 12:42,7/30/2019 6:45,172.5684397,-139.2771194,-5.47,8,439,48.27325388,256625.5726,0.513735886,6.047310727,707.2718884,0,14.69999981,0.140000001,13.586,1.113999809,0.962552505,1,0.962552505,18106.90575,7,14.35999966,-4.725,0.969777814,TRUE
4171,-142.692588,57.49063488,1,MDO1,MDO1,7/30/2019 9:37,211,18107.40035,2019,2,7/30/2019 6:51,7/30/2019 12:22,209.8877334,-121.700811,-6.56,9,171,-160.9480773,103228.4276,0.593672019,2.382170119,722.2296085,0,14.96999931,0.119999997,13.425,1.544999313,0.934827928,1,0.934827928,18107.40086,7,14.77499962,-5.35,0.936374284,TRUE
4693,-143.7468004,58.03503508,1,MDO1,MDO1,7/30/2019 21:41,211,18107.90367,2019,1,7/30/2019 12:26,7/31/2019 6:56,96.82554598,-78.82128376,-6.3,10,193,-45.51277626,515423.5921,0.627296703,11.53231618,744.8974747,0,15.0199995,0.119999997,13.425,1.594999504,0.930836478,0.910338849,0.847376608,18107.90377,7,14.94999981,-5.63,0.931643574,TRUE
