Tag,Sex,SexPC1,SexPC2,SexPC3,SexPC4,SexPC5,BodyCondition,MDO2.PC1,Mod2.PC2,Mod2.PC3,Mod2.PC4,Mod2.PC5,TrackNumber,Year,MDO_Departure,MDO_Departure_DOY,Num_Fall_Sites,Days_to_Winter_Site,Weekly_Fall_Dist_km,CumulativeDistToWinter_m,StraightDistMDOtoWinter,Mean_Residency_Dist_to_Winter_withSTOPS_m,Winter_Arrival,Winter_Arrival_DOY,Winter_Departure,Winter_Departure_DOY,Winter_Num_Days,Mean_Winter_Lat,Mean_Winter_Lon,Num_Spring_Sites,Days_to_Breeding_Site,Weekly_Spring_Dist_km,CumulativeDistToMDO_m,Mean_Residency_Dist_to_MDO_withSTOPS_m,MDO_Arrival,MDO_Arrival_DOY,Notes
BP573,M,-0.266086434,1.054380575,-0.387766358,0.090867969,-0.921598637,-3.375020981,0.265340229,-0.677258789,0.232456727,-0.400684932,0.845520099,1,2018/2019,9/2/2018,245,2,49,877.2968,10295573.89,867558.0371,847448,10/21/2018,294,2/27/2019,58,129,52.96384,-138.4236,2,74,1421.903,14510012.38,1510803.6,5/12/2019,132,
BP574,M,0.612510529,1.849044873,-0.753653715,-0.359606199,0.70391349,-5.702553988,0.577701625,-1.524490914,0.722990411,-0.849113539,-0.672670796,1,2018/2019,9/9/2018,252,1,31,316.0089,7849492.03,729012.0637,639104,10/10/2018,283,3/23/2019,82,164,54.64926,-138.046,1,44,1019.498,9494168.851,1395256.3,5/6/2019,126,
BP575,F,-1.353073465,0.465888004,0.153202448,0.524414169,0.142343147,-54.26096459,0.703998668,0.691030985,0.139828933,0.490360924,-0.105764704,1,2018/2019,8/24/2018,236,1,23,599.3378,8201941.11,820059.3357,735445,9/16/2018,259,,,,53.49104,-138.3638,,,,,,,,no winter departure; tag failed early. 
BP576,F,0.714163641,1.542958261,0.480532072,0.501767063,-0.282735129,-45.53810666,-1.306302779,1.476898015,0.564038526,-0.020978825,-0.544128608,1,2018/2019,9/8/2018,251,2,42,288.7984,6879400.074,644425.3176,683514,10/20/2018,293,4/4/2019,94,166,54.87105,-139.6931,1,38,741.1653,8518187.721,581962.7,5/12/2019,132,
BP579_yr1,F,-2.837728474,-0.235952447,1.91646154,0.708353725,-1.230401972,-30.72369359,2.40526615,0.006161182,1.794863815,0.202809466,-1.421793528,1,2018/2019,9/3/2018,246,2,54,1049.673,14376317.79,542767.595,857274,10/27/2018,300,3/10/2019,69,134,55.39953,-141.1731,2,56,952.3424,11695994.41,1506824.3,5/5/2019,125,
BP579_yr2,F,-2.837728474,-0.235952447,1.91646154,0.708353725,-1.230401972,-30.72369359,2.40526615,0.006161182,1.794863815,0.202809466,-1.421793528,2,2019/2020,9/10/2019,253,1,51,564.3132,11949843.68,660960.4812,649426,10/31/2019,304,,,,54.6715,-139.7375,,,,,,,,"2nd year of deployment, died early "
BP582,M,0.144456986,0.055078855,-0.928095484,1.101025609,-0.090545943,30.38237812,0.869701503,-0.076299204,1.050522068,0.530751941,0.244842388,1,2018/2019,9/7/2018,250,2,36,763.7868,10689056.06,750865.7378,777399,10/13/2018,286,2/26/2019,57,136,54.6667,-137.4934,4,74,1221.821,16623167.1,1369805.6,5/11/2019,131,
BP584,F,-0.766441216,0.231763015,0.708696283,-0.521265299,0.43849053,-8.422752536,0.119600224,0.248775436,0.899569439,-0.005230965,0.622867568,1,2018/2019,9/3/2018,246,2,40,633.2393,11652018.64,575598.2369,866630,10/13/2018,286,4/29/2019,119,198,54.60996,-142.7832,0,6,213.4536,1557921.596,490246.1,5/5/2019,125,
BP586,F,-1.711223006,0.435118406,-0.33977133,-0.183904002,0.114010803,-22.67457777,1.020609449,0.641998505,-0.232817262,-0.101787966,0.325258799,1,2018/2019,8/27/2018,239,1,24,534.9879,6744905.365,766876.6752,630414,9/20/2018,263,4/13/2019,103,205,53.31242,-140.5172,1,22,360.7932,5142790.903,694645.9,5/5/2019,125,
BP587_yr1,M,1.298085667,-2.616897981,-0.184613691,-0.848146012,-0.300006653,29.23713021,2.604661826,1.759571593,-0.288654972,-0.462462191,0.042303289,1,2018/2019,9/5/2018,248,1,13,448.6952,4397043.013,629740.8805,630414,9/18/2018,261,3/26/2019,85,189,54.6158,-140.7993,1,48,1296.097,12568996.6,694645.9,5/13/2019,133,
BP587_yr2,M,1.298085667,-2.616897981,-0.184613691,-0.848146012,-0.300006653,29.23713021,2.604661826,1.759571593,-0.288654972,-0.462462191,0.042303289,2,2019/2020,8/20/2019,232,2,74,463.6872,16321736.12,442349.1772,706403.4,11/2/2019,306,2/22/2020,53,112,56.56261,-141.0992,1,73,1117.957,16246588.73,1246564.75,5/5/2020,126,2nd year of deployment 
BP588,M,2.520861206,-0.492452484,0.408604137,0.94343189,-0.690642052,-44.82209259,3.199970561,-0.663928115,0.05765134,0.392676067,0.648885332,1,2018/2019,9/5/2018,248,1,10,95.10078,2863724.744,753089.1483,662129,9/15/2018,258,4/2/2019,92,199,53.94636,-139.0439,1,26,558.1508,5722019.526,678576.8,4/28/2019,118,
BP591,M,2.745887059,1.520705546,-0.199501846,1.004154323,0.68122514,13.87993761,2.622294792,-2.263768345,0.907745119,0.08362414,-0.520206728,1,2018/2019,9/6/2018,249,1,58,740.3774,14952665.25,382815.1398,946376,11/3/2018,307,3/15/2019,74,132,56.33202,-143.4391,3,51,711.9067,13622040.88,1167600.2,5/5/2019,125,
BP592_yr1,F,-0.629766558,-0.434030757,1.565174553,0.136130863,-0.326613517,6.482923534,0.124256565,-0.428630331,1.574531353,0.231026815,-0.439921793,1,2018/2019,9/17/2018,260,0,1,252.1026,508387.1582,508387.1582,179109,9/18/2018,261,3/4/2019,63,167,55.20222,-143.0305,2,64,759.1053,13230634.69,1021056.9,5/7/2019,127,
BP592_yr2,F,-0.629766558,-0.434030757,1.565174553,0.136130863,-0.326613517,6.482923534,0.124256565,-0.428630331,1.574531353,0.231026815,-0.439921793,2,2019/2020,9/10/2019,253,2,51,707.0496,11611858.15,569530.2172,731794.3,10/31/2019,304,3/6/2020,66,127,55.76401,-139.6257,,,,,,,,"2nd year of deployment, died early "
